timestamp,service,log_level,message,cpu_usage,latency,trace_id,span_id,event_type
2025-09-17T20:58:54.477044,payment-service,INFO,Operation completed successfully in payment-service,37.97654437940132,61.8137048746005,trace_0,span_0,response
2025-09-17T21:03:54.477044,payment-service,DEBUG,Operation completed successfully in payment-service,44.22981551172991,106.54182869025423,trace_1,span_1,system
2025-09-17T21:16:30.477044,payment-service,FATAL,Operation completed successfully in payment-service,57.84337287499701,118.59402848886438,trace_2,span_2,request
2025-09-17T21:19:25.477044,auth-service,DEBUG,Operation completed successfully in auth-service,45.51649742622307,84.86623109411875,trace_3,span_3,system
2025-09-17T21:51:37.477044,auth-service,INFO,Operation completed successfully in auth-service,48.01313193162236,116.68171245910982,trace_4,span_4,transaction
2025-09-17T21:54:07.477044,database,DEBUG,Operation completed successfully in database,55.758387040552954,115.70329123381575,trace_5,span_5,response
2025-09-17T22:09:57.477044,auth-service,INFO,Operation completed successfully in auth-service,60.12973861370691,78.8350458838086,trace_6,,request
2025-09-17T22:23:57.477044,auth-service,WARN,Operation completed successfully in auth-service,35.39876240384974,96.77617343026864,trace_7,span_7,transaction
2025-09-17T22:25:25.477044,web-server,DEBUG,Operation completed successfully in web-server,49.075062113726545,104.23644771398322,trace_8,span_8,transaction
2025-09-17T22:43:34.477044,auth-service,DEBUG,Operation completed successfully in auth-service,42.03903079568694,67.47519398968836,trace_9,span_9,transaction
2025-09-17T23:10:18.477044,auth-service,DEBUG,Operation completed successfully in auth-service,31.10448828615459,137.89218468063677,trace_10,span_10,system
2025-09-17T23:14:53.477044,payment-service,DEBUG,Operation completed successfully in payment-service,56.05542737976312,83.99945413255435,trace_11,span_11,transaction
2025-09-17T23:16:22.477044,auth-service,INFO,Operation completed successfully in auth-service,46.28244055326517,94.235740033223,trace_12,span_12,response
2025-09-17T23:31:25.477044,database,INFO,Operation completed successfully in database,56.943169300326865,106.25134614420305,trace_13,span_13,system
2025-09-17T23:51:46.477044,user-service,DEBUG,Operation completed successfully in user-service,57.88723049956951,96.08267251814691,trace_14,span_14,request
2025-09-18T00:00:34.477044,database,DEBUG,Operation completed successfully in database,99.0,573.0,trace_15,span_15,request
2025-09-18T00:29:42.477044,payment-service,INFO,Operation completed successfully in payment-service,48.44821867198122,77.3093995835284,trace_16,span_16,request
2025-09-18T00:31:50.477044,user-service,INFO,Operation completed successfully in user-service,53.34030782325499,100.04997183253374,trace_17,span_17,system
2025-09-18T00:45:50.477044,payment-service,DEBUG,Operation completed successfully in payment-service,53.70459399190016,115.82160640060492,trace_18,span_18,response
2025-09-18T00:50:20.477044,web-server,INFO,Operation completed successfully in web-server,38.50711911261489,118.13085813122453,trace_19,span_19,request
2025-09-18T01:03:15.477044,user-service,DEBUG,Operation completed successfully in user-service,44.179716573778975,98.68886076671824,trace_20,span_20,response
2025-09-18T01:07:19.477044,database,INFO,Operation completed successfully in database,56.32464864025715,116.34642569119379,trace_21,span_21,transaction
2025-09-18T01:10:17.477044,database,DEBUG,Operation completed successfully in database,43.715525939042216,99.75627277721166,trace_22,span_22,system
2025-09-18T01:17:51.477044,auth-service,WARN,Operation completed successfully in auth-service,44.041616663170245,87.71494031088523,trace_23,span_23,request
2025-09-18T01:29:20.477044,user-service,DEBUG,Operation completed successfully in user-service,44.76237236576701,99.06830817349783,trace_24,span_24,request
2025-09-18T01:32:47.477044,web-server,WARN,Operation completed successfully in web-server,38.988523420741885,74.12784433276391,trace_25,span_25,request
2025-09-18T01:42:52.477044,user-service,DEBUG,Operation completed successfully in user-service,36.569774077260945,50.01976211982605,trace_26,span_26,request
2025-09-18T01:55:42.477044,user-service,INFO,Operation completed successfully in user-service,36.064120205962986,90.96713502735986,trace_27,span_27,transaction
2025-09-18T02:22:26.477044,web-server,INFO,Operation completed successfully in web-server,97.0,681.0,trace_28,span_28,transaction
2025-09-18T02:58:07.477044,auth-service,WARN,Operation completed successfully in auth-service,54.36436202098291,106.41398340989092,trace_29,span_29,request
2025-09-18T03:14:54.477044,auth-service,INFO,Operation completed successfully in auth-service,32.76149401487629,105.69672808991838,trace_30,span_30,system
2025-09-18T04:10:08.477044,payment-service,DEBUG,Operation completed successfully in payment-service,43.68036115004508,62.97388282401934,trace_31,span_31,system
2025-09-18T04:13:45.477044,auth-service,INFO,Operation completed successfully in auth-service,62.075976062216604,119.78504137408586,trace_32,span_32,system
2025-09-18T04:34:22.477044,user-service,INFO,Operation completed successfully in user-service,47.34368664729792,93.0240161890402,trace_33,span_33,request
2025-09-18T04:57:33.477044,web-server,INFO,Operation completed successfully in web-server,59.94978434966899,121.78936229780828,trace_34,span_34,transaction
2025-09-18T05:03:34.477044,auth-service,INFO,Operation completed successfully in auth-service,35.79920860361579,99.55241675889009,trace_35,span_35,response
2025-09-18T05:28:31.477044,auth-service,INFO,Operation completed successfully in auth-service,51.80329643429716,106.59813951550842,trace_36,,system
2025-09-18T05:33:30.477044,database,ERROR,Error in database at 2025-09-18T05:33:30.477044,57.681361215995075,111.14756929993398,trace_37,span_37,system
2025-09-18T05:43:34.477044,auth-service,INFO,Operation completed successfully in auth-service,90.0,906.0,trace_38,span_38,system
2025-09-18T05:46:36.477044,user-service,INFO,Operation completed successfully in user-service,94.0,802.0,trace_39,span_39,transaction
2025-09-18T06:03:50.477044,payment-service,DEBUG,Operation completed successfully in payment-service,52.355867967800094,128.3191562746498,trace_40,span_40,system
2025-09-18T06:46:41.477044,auth-service,INFO,Operation completed successfully in auth-service,44.541461843262056,92.7249215940384,trace_41,span_41,response
2025-09-18T06:47:41.477044,user-service,DEBUG,Operation completed successfully in user-service,54.782565546302976,63.396415036570545,trace_42,span_42,response
2025-09-18T06:50:03.477044,database,WARN,Operation completed successfully in database,48.28227035973031,108.74436723372037,trace_43,span_43,request
2025-09-18T07:03:14.477044,web-server,DEBUG,Operation completed successfully in web-server,65.0353010103739,97.99603202347939,trace_44,span_44,transaction
2025-09-18T07:23:05.477044,user-service,DEBUG,Operation completed successfully in user-service,90.0,563.0,trace_45,span_45,system
2025-09-18T08:07:11.477044,web-server,INFO,Operation completed successfully in web-server,57.42416536614297,102.78300262247507,trace_46,span_46,response
2025-09-18T08:11:55.477044,user-service,INFO,Operation completed successfully in user-service,49.45260944514528,110.10648074912824,trace_47,span_47,response
2025-09-18T08:15:30.477044,payment-service,INFO,Operation completed successfully in payment-service,51.23094342863043,101.00619436938325,trace_48,span_48,response
2025-09-18T08:18:36.477044,database,DEBUG,Operation completed successfully in database,46.48855806188153,87.32049709620527,trace_49,span_49,transaction
